rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,calibration_boost_total,calibration_utilization_boost,calibration_spend_boost,calibration_disease_burden_boost,calibration_population_impact_boost,calibration_risk_boost,calibration_notes,methodology_version,calculation_date,source_coverage_flag,source_overall_intelligence_score,source_claims_readiness_score,source_ai_readiness_score,source_semantic_richness_score,source_interoperability_score,source_clinical_semantics_score,source_explainability_score,source_relationship_density_score,source_classification_density_score,source_relationship_count,source_classification_count,source_disease_count,source_atc_hierarchy_depth,source_schedule_count
1601984,polyquaternium-53,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1601985,aromadendrin,37.199855303332,51.29,51.29,38.246277578653924,49.37,49.37,18.292323775388294,54.41,54.41,34.91579908403027,50.52,50.52,62.75651277711403,82.32,82.32,54.42,3184,51.8,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Spend Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,24.48,48.0,6.25,7.88,47.75,1.75,14.5,10.0,6.5,1.0,1.0,0.0,0.0,0.0
1601986,Joshua tree root extract,29.500788198592858,43.59,43.59,33.80511549183592,43.85,43.85,17.767323775388295,25.26,25.26,29.693222155847604,43.34,43.34,62.94484269215452,85.61,85.61,44.15,3253,43.56,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,16.95,34.0,3.0,4.0,34.0,0.0,12.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
1601987,desert sand verbena leaf extract,29.500788198592858,43.59,43.59,33.80511549183592,43.85,43.85,17.767323775388295,25.26,25.26,29.693222155847604,43.34,43.34,62.94484269215452,85.61,85.61,44.15,3253,43.56,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,16.95,34.0,3.0,4.0,34.0,0.0,12.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
1601988,American aloe stem extract,29.500788198592858,43.59,43.59,33.80511549183592,43.85,43.85,17.767323775388295,25.26,25.26,29.693222155847604,43.34,43.34,62.94484269215452,85.61,85.61,44.15,3253,43.56,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,16.95,34.0,3.0,4.0,34.0,0.0,12.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
1601989,coachwhip stem extract,29.500788198592858,43.59,43.59,33.80511549183592,43.85,43.85,17.767323775388295,25.26,25.26,29.693222155847604,43.34,43.34,62.94484269215452,85.61,85.61,44.15,3253,43.56,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,16.95,34.0,3.0,4.0,34.0,0.0,12.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
1601991,Opuntia cochenillifera flower extract,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1601992,cyclohexyl cinnamate,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1601993,PEG-40 hydrogenated lanolin,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1601994,"3,7-dimethyl-1-octanol",40.56328819859286,53.68,53.68,44.1684269215452,53.75,53.75,18.292323775388294,54.41,54.41,39.243664874551975,53.79,53.79,64.15240833665207,91.57,91.57,57.65,3033,56.35,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Utilization Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,26.2,50.0,7.75,9.88,49.75,1.75,15.5,20.0,6.5,2.0,1.0,0.0,0.0,0.0
