ehi_rank,rxcui,drug_name,ehi_score,ehi_percentile,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,utilization_score,spend_score,disease_burden_score,population_impact_score,risk_score,source_claims_readiness_score,source_overall_intelligence_score,source_ai_readiness_score,source_semantic_richness_score,source_clinical_semantics_score,source_explainability_score,source_relationship_count,source_classification_count,source_disease_count,calibration_boost_total,calibration_notes
33,10761,triamcinolone acetonide,92.78,99.81,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,99.74,99.66,99.78,99.81,30.11,100.0,100.0,100.0,100.0,100.0,100.0,11.0,107.0,34.0,32.0,chronic respiratory inflammation enterprise class
34,235743,metformin hydrochloride,92.76,99.8,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.94,99.81,99.64,99.95,29.03,100.0,100.0,100.0,100.0,100.0,100.0,13.0,25.0,6.0,49.0,chronic cardiometabolic medication; known validation target
34,705022,fluticasone furoate,92.76,99.8,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.78,99.68,99.57,99.83,30.16,100.0,100.0,100.0,100.0,100.0,100.0,14.0,42.0,6.0,32.0,chronic respiratory inflammation enterprise class
35,50121,fluticasone propionate,92.73,99.79,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.75,99.66,99.57,99.81,30.06,100.0,100.0,100.0,100.0,100.0,100.0,12.0,43.0,6.0,32.0,chronic respiratory inflammation enterprise class
35,22690,dexamethasone acetate,92.73,99.79,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.78,99.71,99.46,99.81,30.03,100.0,100.0,100.0,100.0,95.0,100.0,14.0,107.0,31.0,32.0,chronic respiratory inflammation enterprise class
35,40144,levothyroxine sodium,92.73,99.79,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.94,99.81,99.75,99.92,28.54,100.0,100.0,100.0,100.0,100.0,100.0,13.0,23.0,10.0,49.0,chronic cardiometabolic medication; known validation target
36,34376,prednisolone tebutate,92.72,99.78,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.77,99.68,99.5,99.8,30.0,100.0,100.0,100.0,100.0,95.0,100.0,13.0,108.0,40.0,32.0,chronic respiratory inflammation enterprise class
36,1488564,dapagliflozin,92.72,99.78,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.91,99.86,99.13,99.84,29.82,99.0,99.09,99.0,98.5,95.5,100.0,17.0,19.0,3.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
37,1605101,insulin isophane,92.71,99.78,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.91,99.79,99.31,99.9,29.47,94.0,95.28,95.5,94.0,90.0,100.0,7.0,33.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
38,83366,atorvastatin calcium,92.68,99.77,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.94,99.8,99.39,99.94,28.81,100.0,100.0,100.0,100.0,95.0,100.0,12.0,21.0,9.0,49.0,chronic cardiometabolic medication; known validation target
38,203189,methylprednisolone sodium succinate,92.68,99.77,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.74,99.65,99.48,99.79,29.83,100.0,100.0,100.0,100.0,95.0,100.0,11.0,68.0,34.0,32.0,chronic respiratory inflammation enterprise class
39,69120,tiotropium,92.66,99.77,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.74,99.64,99.51,99.75,29.59,100.0,100.0,100.0,100.0,100.0,100.0,11.0,21.0,3.0,32.0,chronic respiratory inflammation enterprise class
40,10762,triamcinolone diacetate,92.65,99.76,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,99.71,99.49,99.72,99.78,29.53,98.0,98.42,98.5,98.0,100.0,100.0,9.0,94.0,34.0,32.0,chronic respiratory inflammation enterprise class
41,2601723,tirzepatide,92.6,99.76,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.82,99.84,99.52,99.66,28.46,96.0,96.35,96.0,94.0,93.0,100.0,11.0,16.0,4.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
41,1307298,enzalutamide,92.6,99.76,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.61,99.97,97.89,98.81,33.23,98.0,98.18,98.0,97.0,90.0,100.0,14.0,18.0,2.0,54.0,oncology hematology high oversight class
42,6918,metoprolol,92.56,99.75,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.88,99.71,99.65,99.89,27.52,100.0,100.0,100.0,100.0,100.0,100.0,16.0,41.0,15.0,31.0,chronic cardiometabolic medication
43,235483,hydrocortisone sodium succinate,92.55,99.75,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.71,99.46,99.43,99.75,29.2,98.0,98.42,98.5,98.0,95.0,100.0,9.0,78.0,20.0,32.0,chronic respiratory inflammation enterprise class
43,163524,hydrocortisone cypionate,92.55,99.75,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.71,99.46,99.43,99.75,29.2,98.0,98.42,98.5,98.0,95.0,100.0,9.0,78.0,20.0,32.0,chronic respiratory inflammation enterprise class
44,17767,amlodipine,92.54,99.74,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.91,99.74,99.58,99.9,27.31,100.0,100.0,100.0,100.0,100.0,100.0,21.0,39.0,5.0,31.0,chronic cardiometabolic medication
44,1114195,rivaroxaban,92.54,99.74,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.77,99.84,97.6,99.71,31.72,97.0,97.26,97.0,95.5,94.5,100.0,15.0,17.0,4.0,46.0,anticoagulant cardiovascular enterprise class
45,20352,carvedilol,92.51,99.74,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.89,99.73,99.71,99.87,26.86,100.0,100.0,100.0,100.0,100.0,100.0,19.0,33.0,13.0,31.0,chronic cardiometabolic medication
45,1790539,infliximab-dyyb,92.51,99.74,Enterprise Critical,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,98.82,99.81,99.83,98.52,31.66,94.0,95.28,95.5,94.0,100.0,100.0,7.0,23.0,7.0,51.0,high cost specialty biologic payer relevance
46,4917,nitroglycerin,92.5,99.73,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.5,99.52,98.47,99.54,31.48,100.0,100.0,100.0,100.0,100.0,100.0,37.0,44.0,14.0,0.0,No calibration boost applied
47,4493,fluoxetine,92.49,99.73,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.91,99.72,99.54,99.86,27.03,100.0,100.0,100.0,100.0,100.0,100.0,21.0,25.0,5.0,31.0,chronic cardiometabolic medication
48,29046,lisinopril,92.48,99.72,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.89,99.73,99.58,99.87,26.86,100.0,100.0,100.0,100.0,100.0,100.0,19.0,33.0,11.0,31.0,chronic cardiometabolic medication
49,203191,metoprolol tartrate,92.47,99.72,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.86,99.67,99.65,99.84,26.89,100.0,100.0,100.0,100.0,100.0,100.0,13.0,38.0,15.0,31.0,chronic cardiometabolic medication
50,9601,scopolamine,92.46,99.72,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.22,99.52,98.54,99.63,31.65,100.0,100.0,100.0,100.0,100.0,100.0,28.0,61.0,19.0,0.0,No calibration boost applied
51,42463,pravastatin,92.43,99.71,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.89,99.7,99.49,99.82,26.72,100.0,100.0,100.0,100.0,100.0,100.0,18.0,24.0,8.0,31.0,chronic cardiometabolic medication
52,52175,losartan,92.42,99.71,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.88,99.7,99.55,99.82,26.44,100.0,100.0,100.0,100.0,100.0,100.0,16.0,31.0,9.0,31.0,chronic cardiometabolic medication
53,6816,methamphetamine,92.35,99.71,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.31,99.27,98.5,99.34,31.38,100.0,100.0,100.0,100.0,100.0,100.0,30.0,32.0,11.0,0.0,No calibration boost applied
54,3992,epinephrine,92.34,99.7,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.54,99.6,99.31,99.6,27.81,100.0,100.0,100.0,100.0,100.0,100.0,42.0,73.0,14.0,0.0,No calibration boost applied
55,301542,rosuvastatin,92.3,99.7,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.88,99.67,99.49,99.8,25.51,100.0,100.0,100.0,100.0,100.0,100.0,16.0,23.0,8.0,31.0,chronic cardiometabolic medication
56,36567,simvastatin,92.27,99.7,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.9,99.74,98.84,99.84,26.24,100.0,100.0,100.0,100.0,95.0,100.0,20.0,43.0,8.0,31.0,chronic cardiometabolic medication
57,203160,losartan potassium,92.26,99.69,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.85,99.65,99.55,99.79,25.18,100.0,100.0,100.0,100.0,100.0,100.0,11.0,31.0,9.0,31.0,chronic cardiometabolic medication
58,203144,pravastatin sodium,92.25,99.69,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.85,99.64,99.49,99.78,25.24,100.0,100.0,100.0,100.0,100.0,100.0,11.0,24.0,8.0,31.0,chronic cardiometabolic medication
59,221109,"insulin, regular, pork",92.23,99.69,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,100.0,99.95,95.55,99.99,31.3,100.0,100.0,100.0,100.0,85.0,100.0,33.0,30.0,8.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
60,4083,estradiol,92.22,99.68,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.45,99.57,98.93,99.57,27.76,100.0,100.0,100.0,100.0,100.0,100.0,35.0,55.0,18.0,0.0,No calibration boost applied
61,36437,sertraline,92.13,99.68,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.9,99.69,99.55,99.77,23.63,100.0,100.0,100.0,100.0,100.0,100.0,20.0,20.0,6.0,31.0,chronic cardiometabolic medication
