rxcui,drug_name,ehi_score,ehi_rank,ehi_percentile,ehi_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label
203180,epinephrine bitartrate,91.7,86,99.55,Enterprise Critical,98.21,99.07,99.42,99.04,27.53,92.75905404262998,151,99.50217384089476,Strategic Priority
139462,moxifloxacin,91.59,93,99.52,Enterprise Critical,98.57,99.07,99.32,98.08,27.34,92.73412754617122,152,99.49885499983407,Strategic Priority
4018,ergocalciferol,91.38,104,99.47,Enterprise Critical,99.45,99.41,98.98,96.01,26.43,92.73231939441335,153,99.49553615877336,Strategic Priority
4491,fluorometholone,91.4,103,99.48,Enterprise Critical,99.08,99.41,99.51,95.63,27.66,92.72780729568863,154,99.49221731771264,Strategic Priority
8727,progesterone,91.36,106,99.46,Enterprise Critical,99.34,99.25,99.32,95.58,27.33,92.72774199406656,155,99.48889847665195,Strategic Priority
828529,"albumin human, USP",91.47,100,99.49,Enterprise Critical,99.27,99.21,98.71,97.35,26.06,92.7270550160192,156,99.48557963559125,Strategic Priority
61148,somatropin,91.4,103,99.48,Enterprise Critical,99.27,99.18,99.17,96.23,27.04,92.72535917480913,157,99.48226079453055,Strategic Priority
8536,polymyxin B,91.53,96,99.5,Enterprise Critical,98.57,99.24,99.49,97.29,27.63,92.71505090730996,158,99.47894195346984,Strategic Priority
10180,sulfamethoxazole,91.51,97,99.5,Enterprise Critical,98.74,99.1,99.29,97.46,27.31,92.71379696426413,159,99.47562311240915,Strategic Priority
7984,penicillin V,91.33,109,99.44,Enterprise Critical,99.15,99.36,99.57,95.15,27.84,92.7030566764676,160,99.47230427134845,Strategic Priority
37418,sumatriptan,91.48,99,99.49,Enterprise Critical,98.88,98.98,99.13,97.51,26.97,92.69363065726031,161,99.46898543028774,Strategic Priority
4678,ganciclovir,91.35,107,99.46,Enterprise Critical,99.27,99.18,99.17,95.99,27.04,92.6921651184727,162,99.46566658922704,Strategic Priority
7980,penicillin G,91.27,115,99.41,Enterprise Critical,99.22,99.49,99.6,94.52,27.91,92.68266625784683,163,99.46234774816634,Strategic Priority
1357536,tofacitinib,91.07,133,99.29,Enterprise Critical,99.62,99.91,99.17,90.38,32.53,92.67553219769249,164,99.45902890710563,Strategic Priority
3423,hydromorphone,91.3,112,99.42,Enterprise Critical,99.15,98.77,99.08,94.33,31.32,92.67154922434437,165,99.45571006604493,Strategic Priority
5781,indomethacin,91.28,114,99.42,Enterprise Critical,99.15,99.43,99.5,94.92,27.65,92.658813591179,166,99.45239122498424,Strategic Priority
3339,dibucaine,91.23,118,99.4,Enterprise Critical,99.45,99.51,99.17,94.84,26.75,92.6512431486268,167,99.44907238392354,Strategic Priority
3418,dihydroergotamine,91.53,96,99.5,Enterprise Critical,98.21,99.03,99.4,98.26,27.48,92.63484549756258,168,99.44575354286283,Strategic Priority
11636,drospirenone,91.34,108,99.45,Enterprise Critical,98.74,99.27,99.48,96.1,27.61,92.62008299261964,169,99.44243470180213,Strategic Priority
235486,dexamethasone phosphate,91.34,108,99.45,Enterprise Critical,99.67,94.52,99.74,99.77,28.95,92.60754756796607,170,99.43911586074144,Strategic Priority
38546,triamcinolone hexacetonide,91.33,109,99.44,Enterprise Critical,99.67,94.5,99.74,99.76,28.94,92.60094264815093,171,99.43579701968073,Strategic Priority
10829,trimethoprim,91.4,103,99.48,Enterprise Critical,98.57,98.99,99.23,97.43,27.09,92.59053960863125,172,99.43247817862002,Strategic Priority
1876376,dupilumab,91.02,138,99.26,Enterprise Critical,99.61,99.91,98.28,90.84,32.48,92.58170334017058,173,99.42915933755933,Strategic Priority
7983,penicillin G procaine,91.17,123,99.37,Enterprise Critical,99.03,99.37,99.59,94.45,27.86,92.56659089664473,174,99.42584049649862,Strategic Priority
4337,fentanyl,91.03,137,99.27,Enterprise Critical,99.39,99.12,99.35,91.92,31.42,92.5623501849887,175,99.42252165543792,Strategic Priority
7454,nitrofurantoin,91.29,113,99.42,Enterprise Critical,98.88,98.92,99.07,96.73,26.89,92.55580317602688,176,99.41920281437721,Strategic Priority
3639,doxorubicin,91.32,110,99.43,Enterprise Critical,98.97,99.3,98.54,97.37,25.44,92.55154646703643,177,99.41588397331653,Strategic Priority
140587,celecoxib,91.2,121,99.38,Enterprise Critical,98.57,99.09,99.54,93.84,31.56,92.54466186417257,178,99.41256513225582,Strategic Priority
5552,hydroxyurea,91.08,132,99.31,Enterprise Critical,99.34,99.31,99.37,94.06,27.38,92.54325343987306,179,99.40924629119512,Strategic Priority
