rxcui,drug_name,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score
2601723,tirzepatide,93.74166748963113,73,99.76104344362949,Strategic Priority,99.82,99.84,99.66,99.52,28.46
1114195,rivaroxaban,93.73973051275009,74,99.75772460256879,Strategic Priority,99.77,99.84,99.71,97.6,31.72
1307298,enzalutamide,93.72205422055615,75,99.75440576150808,Strategic Priority,99.61,99.97,98.81,97.89,33.23
6918,metoprolol,93.71399003563315,76,99.75108692044739,Strategic Priority,99.88,99.71,99.89,99.65,27.52
17767,amlodipine,93.70657573688375,77,99.74776807938667,Strategic Priority,99.91,99.74,99.9,99.58,27.31
163524,hydrocortisone cypionate,93.68051409933605,78,99.74444923832597,Strategic Priority,99.71,99.46,99.75,99.43,29.2
235483,hydrocortisone sodium succinate,93.68051409933605,78,99.74444923832597,Strategic Priority,99.71,99.46,99.75,99.43,29.2
20352,carvedilol,93.67159234583372,80,99.73781155620458,Strategic Priority,99.89,99.73,99.87,99.71,26.86
4493,fluoxetine,93.66635392437891,81,99.73449271514387,Strategic Priority,99.91,99.72,99.86,99.54,27.03
29046,lisinopril,93.65361223198482,82,99.73117387408317,Strategic Priority,99.89,99.73,99.87,99.58,26.86
203191,metoprolol tartrate,93.63593149767479,83,99.72785503302248,Strategic Priority,99.86,99.67,99.84,99.65,26.89
4917,nitroglycerin,93.63576186076324,84,99.72453619196176,Strategic Priority,99.5,99.52,99.54,98.47,31.48
42463,pravastatin,93.61440711867108,85,99.72121735090107,Strategic Priority,99.89,99.7,99.82,99.49,26.72
52175,losartan,93.595199913361,86,99.71789850984037,Strategic Priority,99.88,99.7,99.82,99.55,26.44
221109,"insulin, regular, pork",93.58171883759123,87,99.71457966877966,Strategic Priority,100.0,99.95,99.99,95.55,31.3
9601,scopolamine,93.56548399806974,88,99.71126082771896,Strategic Priority,99.22,99.52,99.63,98.54,31.65
36567,simvastatin,93.50007160187872,89,99.70794198665826,Strategic Priority,99.9,99.74,99.84,98.84,26.24
301542,rosuvastatin,93.49859476536926,90,99.70462314559757,Strategic Priority,99.88,99.67,99.8,99.49,25.51
3992,epinephrine,93.4858357516064,91,99.70130430453685,Strategic Priority,99.54,99.6,99.6,99.31,27.81
6816,methamphetamine,93.46896023463503,92,99.69798546347616,Strategic Priority,99.31,99.27,99.34,98.5,31.38
1790539,infliximab-dyyb,93.46572869115877,93,99.69466662241545,Strategic Priority,98.82,99.81,98.52,99.83,31.66
203160,losartan potassium,93.46130313222221,94,99.69134778135475,Strategic Priority,99.85,99.65,99.79,99.55,25.18
203144,pravastatin sodium,93.45419417497547,95,99.68802894029405,Strategic Priority,99.85,99.64,99.78,99.49,25.24
4083,estradiol,93.38230177962801,96,99.68471009923334,Strategic Priority,99.45,99.57,99.57,98.93,27.76
5640,ibuprofen,93.36769618097796,97,99.68139125817265,Strategic Priority,99.48,99.59,99.65,96.21,31.7
25480,gabapentin,93.36059436898567,98,99.67807241711193,Strategic Priority,99.96,99.82,99.96,95.58,29.21
36437,sertraline,93.35560172843206,99,99.67475357605124,Strategic Priority,99.9,99.69,99.77,99.55,23.63
6387,lidocaine,93.2705401720783,100,99.67143473499054,Strategic Priority,99.39,99.6,99.65,97.83,28.28
